epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.137,1.36176,3.22972,1.40323,0.01997,0.36477,0.14349,0.10199,1.12038,3.54077,1.22019,0.00024442,0.00024442,0.00024442
2,322.748,1.25703,1.95168,1.2827,0.95329,0.09971,0.19976,0.13451,1.23659,3.09564,1.34706,0.000490051,0.000490051,0.000490051
3,475.071,1.22011,1.62994,1.27351,0.86301,0.15535,0.3924,0.23565,1.28983,2.83478,1.36446,0.000725563,0.000725563,0.000725563
4,628.425,1.20996,1.47568,1.26985,0.83264,0.25071,0.50652,0.28036,1.35316,2.49837,1.40839,0.000950956,0.000950956,0.000950956
5,781.241,1.19734,1.39259,1.24677,0.61287,0.39314,0.49309,0.27069,1.40412,2.35004,1.53028,0.00102301,0.00102301,0.00102301
6,937.332,1.16534,1.29262,1.2166,0.60153,0.46362,0.51482,0.29894,1.36402,2.0227,1.4627,0.00100101,0.00100101,0.00100101
7,1099.89,1.15278,1.20972,1.21132,0.60759,0.52118,0.52703,0.31753,1.39555,1.71494,1.48666,0.000979013,0.000979013,0.000979013
8,1253.41,1.07585,1.1202,1.16511,0.52799,0.532,0.52788,0.30926,1.37116,1.69428,1.46109,0.000957015,0.000957015,0.000957015
9,1403.93,1.07396,1.11484,1.1856,0.58169,0.62832,0.60808,0.35867,1.34603,1.60015,1.5382,0.000935018,0.000935018,0.000935018
10,1570.82,1.0478,1.04421,1.15451,0.64551,0.57753,0.61439,0.38932,1.2776,1.50642,1.38676,0.00091302,0.00091302,0.00091302
11,1729.48,1.04679,1.03096,1.15206,0.63602,0.56682,0.59683,0.35491,1.32455,1.61202,1.40976,0.000891022,0.000891022,0.000891022
12,1892.73,1.0198,0.98668,1.13078,0.68012,0.57444,0.62425,0.3914,1.27042,1.5011,1.3745,0.000869024,0.000869024,0.000869024
13,2049.81,1.03672,0.9963,1.14274,0.66617,0.58501,0.61347,0.3742,1.30462,1.46038,1.38226,0.000847026,0.000847026,0.000847026
14,2209.18,1.0215,0.96238,1.13085,0.62106,0.63536,0.63609,0.39073,1.2967,1.44647,1.38283,0.000825029,0.000825029,0.000825029
15,2389.57,0.99425,0.9581,1.1387,0.65294,0.57005,0.60959,0.37876,1.2724,1.50106,1.38352,0.000803031,0.000803031,0.000803031
16,2546.41,0.98751,0.88054,1.10788,0.65233,0.64391,0.63292,0.38375,1.33425,1.40206,1.41784,0.000781033,0.000781033,0.000781033
17,2697.35,0.95012,0.8731,1.09023,0.67851,0.65328,0.68579,0.43654,1.25856,1.29385,1.3906,0.000759035,0.000759035,0.000759035
18,2886.31,0.93232,0.84275,1.08939,0.63225,0.64705,0.61708,0.37887,1.35884,1.50964,1.41496,0.000737037,0.000737037,0.000737037
19,3038.46,0.94288,0.82724,1.09677,0.60965,0.71683,0.66872,0.42888,1.2353,1.27259,1.33858,0.00071504,0.00071504,0.00071504
20,3206.22,0.91731,0.81288,1.07869,0.63192,0.63098,0.63001,0.40147,1.23548,1.36652,1.33911,0.000693042,0.000693042,0.000693042
21,3369.43,0.91795,0.7687,1.06816,0.61436,0.71978,0.68239,0.43207,1.20395,1.22808,1.31159,0.000671044,0.000671044,0.000671044
22,3542.1,0.91457,0.78721,1.08033,0.64307,0.68037,0.69173,0.43102,1.21284,1.23722,1.3251,0.000649046,0.000649046,0.000649046
23,3699.39,0.9236,0.77851,1.07762,0.65823,0.7065,0.70071,0.43813,1.22836,1.23699,1.34947,0.000627048,0.000627048,0.000627048
24,3846.47,0.90736,0.7489,1.07167,0.74017,0.62072,0.69614,0.42477,1.25033,1.24654,1.35789,0.000605051,0.000605051,0.000605051
25,3995.58,0.87482,0.74163,1.05782,0.74303,0.60931,0.6745,0.42408,1.22697,1.19983,1.3464,0.000583053,0.000583053,0.000583053
26,4142.42,0.87789,0.73596,1.0655,0.67132,0.69746,0.69288,0.42567,1.23297,1.16944,1.35934,0.000561055,0.000561055,0.000561055
27,4289.86,0.87468,0.71557,1.06674,0.72679,0.66049,0.71133,0.44231,1.23887,1.16812,1.35949,0.000539057,0.000539057,0.000539057
28,4434.74,0.82827,0.69484,1.04943,0.63744,0.70971,0.71506,0.44863,1.22049,1.14666,1.33652,0.000517059,0.000517059,0.000517059
29,4582.13,0.85332,0.70118,1.05232,0.71678,0.66856,0.71078,0.44982,1.20234,1.17714,1.32222,0.000495062,0.000495062,0.000495062
30,4727.3,0.83331,0.69004,1.02944,0.68615,0.68112,0.69424,0.43999,1.21663,1.17348,1.32208,0.000473064,0.000473064,0.000473064
31,4874.91,0.83253,0.66536,1.02931,0.75892,0.6677,0.72091,0.44945,1.19829,1.20226,1.3084,0.000451066,0.000451066,0.000451066
32,5019.98,0.82616,0.64742,1.03675,0.76986,0.69124,0.74485,0.46627,1.20517,1.16634,1.32866,0.000429068,0.000429068,0.000429068
33,5166.96,0.80893,0.66407,1.03289,0.77123,0.71866,0.76811,0.48976,1.18964,1.09187,1.32004,0.00040707,0.00040707,0.00040707
34,5314.15,0.79994,0.65009,1.03486,0.7552,0.72161,0.75896,0.48627,1.17497,1.05761,1.31529,0.000385073,0.000385073,0.000385073
35,5463.05,0.7953,0.62863,1.01756,0.73607,0.67999,0.72688,0.45696,1.21458,1.10595,1.3275,0.000363075,0.000363075,0.000363075
36,5610.36,0.77953,0.61947,0.99717,0.76536,0.64376,0.71293,0.45617,1.22195,1.10131,1.34125,0.000341077,0.000341077,0.000341077
37,5755.45,0.77502,0.62807,1.01933,0.74151,0.70751,0.73571,0.47212,1.17671,1.06877,1.3205,0.000319079,0.000319079,0.000319079
38,5901.83,0.79538,0.60695,1.01724,0.75807,0.72008,0.74786,0.47247,1.21534,1.0677,1.33667,0.000297081,0.000297081,0.000297081
39,6046.83,0.74212,0.58523,0.99152,0.73544,0.7169,0.73956,0.47389,1.19228,1.07172,1.32088,0.000275084,0.000275084,0.000275084
40,6194.64,0.74068,0.58444,0.99872,0.7757,0.72026,0.7656,0.48376,1.18032,1.04826,1.30963,0.000253086,0.000253086,0.000253086
41,6339.93,0.73546,0.6264,0.97545,0.70079,0.66643,0.68616,0.41781,1.33195,1.32601,1.43084,0.000231088,0.000231088,0.000231088
42,6487.12,0.71978,0.57029,0.9644,0.70101,0.75614,0.7484,0.48198,1.15919,1.06973,1.29142,0.00020909,0.00020909,0.00020909
43,6631.78,0.69933,0.54884,0.96698,0.75943,0.64798,0.73379,0.46794,1.17914,1.12045,1.2952,0.000187092,0.000187092,0.000187092
44,6775.95,0.67865,0.52825,0.93922,0.70081,0.68008,0.72401,0.47126,1.15133,1.0937,1.27425,0.000165095,0.000165095,0.000165095
45,6921.01,0.67982,0.51619,0.95273,0.74304,0.68243,0.73458,0.4769,1.15827,1.08225,1.29038,0.000143097,0.000143097,0.000143097
46,7068.16,0.68167,0.52695,0.94934,0.72943,0.71721,0.75743,0.49307,1.15231,1.05031,1.2847,0.000121099,0.000121099,0.000121099
47,7214.61,0.66999,0.51655,0.94845,0.76198,0.72039,0.76008,0.49583,1.15344,1.05048,1.29035,9.91012e-05,9.91012e-05,9.91012e-05
48,7359.7,0.64371,0.49296,0.92789,0.76303,0.68766,0.75331,0.48884,1.15807,1.04679,1.29864,7.71034e-05,7.71034e-05,7.71034e-05
